"RNF17 blocks promiscuous activity of PIWI proteins in mouse testes.","/pubmed/26115953","Wasik KA, Tam OH, Knott SR, Falciatori I, Hammell M, Vagin VV, Hannon GJ.","Genes Dev. 2015 Jul 1;29(13):1403-15. doi: 10.1101/gad.265215.115.","Genes Dev.  2015","PubMed","citation","PMID:26115953 | PMCID:PMC4511215","pubmed","26115953","create date:2015/06/28 | first author:Wasik KA",
"piRNA-directed cleavage of meiotic transcripts regulates spermatogenesis.","/pubmed/25995188","Goh WS, Falciatori I, Tam OH, Burgess R, Meikar O, Kotaja N, Hammell M, Hannon GJ.","Genes Dev. 2015 May 15;29(10):1032-44. doi: 10.1101/gad.260455.115.","Genes Dev.  2015","PubMed","citation","PMID:25995188 | PMCID:PMC4441051","pubmed","25995188","create date:2015/05/23 | first author:Goh WS",
"An epigenetic memory of pregnancy in the mouse mammary gland.","/pubmed/25959817","Dos Santos CO, Dolzhenko E, Hodges E, Smith AD, Hannon GJ.","Cell Rep. 2015 May 19;11(7):1102-9. doi: 10.1016/j.celrep.2015.04.015.","Cell Rep.  2015","PubMed","citation","PMID:25959817 | PMCID:PMC4439279","pubmed","25959817","create date:2015/05/12 | first author:Dos Santos CO",
"ATP synthase promotes germ cell differentiation independent of oxidative phosphorylation.","/pubmed/25915123","Teixeira FK, Sanchez CG, Hurd TR, Seifert JR, Czech B, Preall JB, Hannon GJ, Lehmann R.","Nat Cell Biol. 2015 May;17(5):689-96. doi: 10.1038/ncb3165.","Nat Cell Biol.  2015","PubMed","citation","PMID:25915123 | PMCID:PMC4573567","pubmed","25915123","create date:2015/04/29 | first author:Teixeira FK",
"A model of breast cancer heterogeneity reveals vascular mimicry as a driver of metastasis.","/pubmed/25855289","Wagenblast E, Soto M, Gutiérrez-Ángel S, Hartl CA, Gable AL, Maceli AR, Erard N, Williams AM, Kim SY, Dickopf S, Harrell JC, Smith AD, Perou CM, Wilkinson JE, Hannon GJ, Knott SR.","Nature. 2015 Apr 16;520(7547):358-62. doi: 10.1038/nature14403.","Nature.  2015","PubMed","citation","PMID:25855289 | PMCID:PMC4634366","pubmed","25855289","create date:2015/04/10 | first author:Wagenblast E",
"Pitfalls of mapping high-throughput sequencing data to repetitive sequences: Piwi's genomic targets still not identified.","/pubmed/25805138","Marinov GK, Wang J, Handler D, Wold BJ, Weng Z, Hannon GJ, Aravin AA, Zamore PD, Brennecke J, Toth KF.","Dev Cell. 2015 Mar 23;32(6):765-71. doi: 10.1016/j.devcel.2015.01.013.","Dev Cell.  2015","PubMed","citation","PMID:25805138 | PMCID:PMC4494788","pubmed","25805138","create date:2015/03/26 | first author:Marinov GK",
"Essential Role for endogenous siRNAs during meiosis in mouse oocytes.","/pubmed/25695507","Stein P, Rozhkov NV, Li F, Cárdenas FL, Davydenko O, Vandivier LE, Gregory BD, Hannon GJ, Schultz RM.","PLoS Genet. 2015 Feb 19;11(2):e1005013. doi: 10.1371/journal.pgen.1005013. Erratum in: PLoS Genet. 2015 Apr;11(4):e1005129. ","PLoS Genet.  2015","PubMed","citation","PMID:25695507 | PMCID:PMC4335007","pubmed","25695507","create date:2015/02/20 | first author:Stein P",
"A computational algorithm to predict shRNA potency.","/pubmed/25435137","Knott SR, Maceli AR, Erard N, Chang K, Marran K, Zhou X, Gordon A, El Demerdash O, Wagenblast E, Kim S, Fellmann C, Hannon GJ.","Mol Cell. 2014 Dec 18;56(6):796-807. doi: 10.1016/j.molcel.2014.10.025.","Mol Cell.  2014","PubMed","citation","PMID:25435137 | PMCID:PMC4272634","pubmed","25435137","create date:2014/12/02 | first author:Knott SR",
"Dephosphorylation of tyrosine 393 in argonaute 2 by protein tyrosine phosphatase 1B regulates gene silencing in oncogenic RAS-induced senescence.","/pubmed/25175024","Yang M, Haase AD, Huang FK, Coulis G, Rivera KD, Dickinson BC, Chang CJ, Pappin DJ, Neubert TA, Hannon GJ, Boivin B, Tonks NK.","Mol Cell. 2014 Sep 4;55(5):782-90. doi: 10.1016/j.molcel.2014.07.018.","Mol Cell.  2014","PubMed","citation","PMID:25175024 | PMCID:PMC4159145","pubmed","25175024","create date:2014/09/02 | first author:Yang M",
"A Genome-Wide Survey of Sexually Dimorphic Expression of Drosophila miRNAs Identifies the Steroid Hormone-Induced miRNA let-7 as a Regulator of Sexual Identity.","/pubmed/25081982","Fagegaltier D, König A, Gordon A, Lai EC, Gingeras TR, Hannon GJ, Shcherbata HR.","G3 (Bethesda). 2014 Jul 29. pii: g3.114.012203. doi: 10.1534/g3.114.012203. [Epub ahead of print]","G3 (Bethesda).  2014","PubMed","citation","PMID:25081982","pubmed","25081982","create date:2014/08/02 | first author:Fagegaltier D",
"A genome-wide survey of sexually dimorphic expression of Drosophila miRNAs identifies the steroid hormone-induced miRNA let-7 as a regulator of sexual identity.","/pubmed/25081570","Fagegaltier D, König A, Gordon A, Lai EC, Gingeras TR, Hannon GJ, Shcherbata HR.","Genetics. 2014 Oct;198(2):647-68. doi: 10.1534/genetics.114.169268.","Genetics.  2014","PubMed","citation","PMID:25081570 | PMCID:PMC4196619","pubmed","25081570","create date:2014/08/02 | first author:Fagegaltier D",
"Two waves of de novo methylation during mouse germ cell development.","/pubmed/25030694","Molaro A, Falciatori I, Hodges E, Aravin AA, Marran K, Rafii S, McCombie WR, Smith AD, Hannon GJ.","Genes Dev. 2014 Jul 15;28(14):1544-9. doi: 10.1101/gad.244350.114.","Genes Dev.  2014","PubMed","citation","PMID:25030694 | PMCID:PMC4102761","pubmed","25030694","create date:2014/07/18 | first author:Molaro A",
"Starvation-induced transgenerational inheritance of small RNAs in C. elegans.","/pubmed/25018105","Rechavi O, Houri-Ze'evi L, Anava S, Goh WS, Kerk SY, Hannon GJ, Hobert O.","Cell. 2014 Jul 17;158(2):277-87. doi: 10.1016/j.cell.2014.06.020.","Cell.  2014","PubMed","citation","PMID:25018105 | PMCID:PMC4377509","pubmed","25018105","create date:2014/07/16 | first author:Rechavi O",
"Generation of transgenic Drosophila expressing shRNAs in the miR-1 backbone.","/pubmed/24786506","Chang K, Marran K, Valentine A, Hannon GJ.","Cold Spring Harb Protoc. 2014 May 1;2014(5). pii: pdb.prot080762. doi: 10.1101/pdb.prot080762.","Cold Spring Harb Protoc.  2014","PubMed","citation","PMID:24786506 | PMCID:PMC4377507","pubmed","24786506","create date:2014/05/03 | first author:Chang K",
"Inducing RNAi in Drosophila cells by soaking with dsRNA.","/pubmed/24786505","Zhou R, Mohr S, Hannon GJ, Perrimon N.","Cold Spring Harb Protoc. 2014 May 1;2014(5). pii: pdb.prot080747. doi: 10.1101/pdb.prot080747.","Cold Spring Harb Protoc.  2014","PubMed","citation","PMID:24786505","pubmed","24786505","create date:2014/05/03 | first author:Zhou R",
"A genome-wide RNAi screen identifies factors required for distinct stages of C. elegans piRNA biogenesis.","/pubmed/24696458","Goh WS, Seah JW, Harrison EJ, Chen C, Hammell CM, Hannon GJ.","Genes Dev. 2014 Apr 1;28(7):797-807. doi: 10.1101/gad.235622.113.","Genes Dev.  2014","PubMed","citation","PMID:24696458 | PMCID:PMC4015493","pubmed","24696458","create date:2014/04/04 | first author:Goh WS",
"An atlas of chromatoid body components.","/pubmed/24554440","Meikar O, Vagin VV, Chalmel F, Sõstar K, Lardenois A, Hammell M, Jin Y, Da Ros M, Wasik KA, Toppari J, Hannon GJ, Kotaja N.","RNA. 2014 Apr;20(4):483-95. doi: 10.1261/rna.043729.113.","RNA.  2014","PubMed","citation","PMID:24554440 | PMCID:PMC3964910","pubmed","24554440","create date:2014/02/21 | first author:Meikar O",
"Creating transgenic shRNA mice by recombinase-mediated cassette exchange.","/pubmed/24003198","Premsrirut PK, Dow LE, Park Y, Hannon GJ, Lowe SW.","Cold Spring Harb Protoc. 2013 Sep 1;2013(9):835-42. doi: 10.1101/pdb.prot077057.","Cold Spring Harb Protoc.  2013","PubMed","citation","PMID:24003198 | PMCID:PMC4028064","pubmed","24003198","create date:2013/09/05 | first author:Premsrirut PK",
"A genomic-scale artificial microRNA library as a tool to investigate the functionally redundant gene space in Arabidopsis.","/pubmed/23956262","Hauser F, Chen W, Deinlein U, Chang K, Ossowski S, Fitz J, Hannon GJ, Schroeder JI.","Plant Cell. 2013 Aug;25(8):2848-63. doi: 10.1105/tpc.113.112805.","Plant Cell.  2013","PubMed","citation","PMID:23956262 | PMCID:PMC3784584","pubmed","23956262","create date:2013/08/21 | first author:Hauser F",
"Infection of mammalian cells with retroviral shRNAs.","/pubmed/23906913","Chang K, Marran K, Valentine A, Hannon GJ.","Cold Spring Harb Protoc. 2013 Aug 1;2013(8):732-3. doi: 10.1101/pdb.prot076455.","Cold Spring Harb Protoc.  2013","PubMed","citation","PMID:23906913","pubmed","23906913","create date:2013/08/03 | first author:Chang K",
"Packaging shRNA retroviruses.","/pubmed/23906912","Chang K, Marran K, Valentine A, Hannon GJ.","Cold Spring Harb Protoc. 2013 Aug 1;2013(8):734-7. doi: 10.1101/pdb.prot076448.","Cold Spring Harb Protoc.  2013","PubMed","citation","PMID:23906912","pubmed","23906912","create date:2013/08/03 | first author:Chang K",
"Remodeling of Ago2-mRNA interactions upon cellular stress reflects miRNA complementarity and correlates with altered translation rates.","/pubmed/23824327","Karginov FV, Hannon GJ.","Genes Dev. 2013 Jul 15;27(14):1624-32. doi: 10.1101/gad.215939.113.","Genes Dev.  2013","PubMed","citation","PMID:23824327 | PMCID:PMC3731550","pubmed","23824327","create date:2013/07/05 | first author:Karginov FV",
"Creating an miR30-based shRNA vector.","/pubmed/23818675","Chang K, Marran K, Valentine A, Hannon GJ.","Cold Spring Harb Protoc. 2013 Jul 1;2013(7):631-5. doi: 10.1101/pdb.prot075853.","Cold Spring Harb Protoc.  2013","PubMed","citation","PMID:23818675","pubmed","23818675","create date:2013/07/03 | first author:Chang K",
"De novo DNA demethylation and noncoding transcription define active intergenic regulatory elements.","/pubmed/23811145","Schlesinger F, Smith AD, Gingeras TR, Hannon GJ, Hodges E.","Genome Res. 2013 Oct;23(10):1601-14. doi: 10.1101/gr.157271.113.","Genome Res.  2013","PubMed","citation","PMID:23811145 | PMCID:PMC3787258","pubmed","23811145","create date:2013/07/03 | first author:Schlesinger F",
"Minotaur is critical for primary piRNA biogenesis.","/pubmed/23788724","Vagin VV, Yu Y, Jankowska A, Luo Y, Wasik KA, Malone CD, Harrison E, Rosebrock A, Wakimoto BT, Fagegaltier D, Muerdter F, Hannon GJ.","RNA. 2013 Aug;19(8):1064-77. doi: 10.1261/rna.039669.113.","RNA.  2013","PubMed","citation","PMID:23788724 | PMCID:PMC3708527","pubmed","23788724","create date:2013/06/22 | first author:Vagin VV",
"The making of a slicer: activation of human Argonaute-1.","/pubmed/23746446","Faehnle CR, Elkayam E, Haase AD, Hannon GJ, Joshua-Tor L.","Cell Rep. 2013 Jun 27;3(6):1901-9. doi: 10.1016/j.celrep.2013.05.033.","Cell Rep.  2013","PubMed","citation","PMID:23746446 | PMCID:PMC3769929","pubmed","23746446","create date:2013/06/12 | first author:Faehnle CR",
"Patient-derived tumor xenografts: transforming clinical samples into mouse models.","/pubmed/23733750","Siolas D, Hannon GJ.","Cancer Res. 2013 Sep 1;73(17):5315-9. doi: 10.1158/0008-5472.CAN-13-1069. Review.","Cancer Res.  2013","PubMed","citation","PMID:23733750 | PMCID:PMC3766500","pubmed","23733750","create date:2013/06/05 | first author:Siolas D",
"DNA methylation dynamics during intestinal stem cell differentiation reveals enhancers driving gene expression in the villus.","/pubmed/23714178","Kaaij LT, van de Wetering M, Fang F, Decato B, Molaro A, van de Werken HJ, van Es JH, Schuijers J, de Wit E, de Laat W, Hannon GJ, Clevers HC, Smith AD, Ketting RF.","Genome Biol. 2013 May 28;14(5):R50. doi: 10.1186/gb-2013-14-5-r50.","Genome Biol.  2013","PubMed","citation","PMID:23714178 | PMCID:PMC4053812","pubmed","23714178","create date:2013/05/30 | first author:Kaaij LT",
"A genome-wide RNAi screen draws a genetic framework for transposon control and primary piRNA biogenesis in Drosophila.","/pubmed/23665228","Muerdter F, Guzzardo PM, Gillis J, Luo Y, Yu Y, Chen C, Fekete R, Hannon GJ.","Mol Cell. 2013 Jun 6;50(5):736-48. doi: 10.1016/j.molcel.2013.04.006.","Mol Cell.  2013","PubMed","citation","PMID:23665228 | PMCID:PMC3724422","pubmed","23665228","create date:2013/05/15 | first author:Muerdter F",
"A transcriptome-wide RNAi screen in the Drosophila ovary reveals factors of the germline piRNA pathway.","/pubmed/23665227","Czech B, Preall JB, McGinn J, Hannon GJ.","Mol Cell. 2013 Jun 6;50(5):749-61. doi: 10.1016/j.molcel.2013.04.007.","Mol Cell.  2013","PubMed","citation","PMID:23665227 | PMCID:PMC3724427","pubmed","23665227","create date:2013/05/15 | first author:Czech B",
"Dnmt2-dependent methylomes lack defined DNA methylation patterns.","/pubmed/23641003","Raddatz G, Guzzardo PM, Olova N, Fantappié MR, Rampp M, Schaefer M, Reik W, Hannon GJ, Lyko F.","Proc Natl Acad Sci U S A. 2013 May 21;110(21):8627-31. doi: 10.1073/pnas.1306723110.","Proc Natl Acad Sci U S A.  2013","PubMed","citation","PMID:23641003 | PMCID:PMC3666705","pubmed","23641003","create date:2013/05/04 | first author:Raddatz G",
"Inducing RNAi in Drosophila cells by transfection with dsRNA.","/pubmed/23637371","Zhou R, Mohr S, Hannon GJ, Perrimon N.","Cold Spring Harb Protoc. 2013 May 1;2013(5):461-3. doi: 10.1101/pdb.prot074351.","Cold Spring Harb Protoc.  2013","PubMed","citation","PMID:23637371 | PMCID:PMC4465107","pubmed","23637371","create date:2013/05/03 | first author:Zhou R",
"Variations in COL15A1 and COL18A1 influence age of onset of primary open angle glaucoma.","/pubmed/23621901","Wiggs JL, Howell GR, Linkroum K, Abdrabou W, Hodges E, Braine CE, Pasquale LR, Hannon GJ, Haines JL, John SW.","Clin Genet. 2013 Aug;84(2):167-74. doi: 10.1111/cge.12176.","Clin Genet.  2013","PubMed","citation","PMID:23621901 | PMCID:PMC3771394","pubmed","23621901","create date:2013/04/30 | first author:Wiggs JL",
"Molecular hierarchy of mammary differentiation yields refined markers of mammary stem cells.","/pubmed/23580620","dos Santos CO, Rebbeck C, Rozhkova E, Valentine A, Samuels A, Kadiri LR, Osten P, Harris EY, Uren PJ, Smith AD, Hannon GJ.","Proc Natl Acad Sci U S A. 2013 Apr 30;110(18):7123-30. doi: 10.1073/pnas.1303919110.","Proc Natl Acad Sci U S A.  2013","PubMed","citation","PMID:23580620 | PMCID:PMC3645536","pubmed","23580620","create date:2013/04/13 | first author:dos Santos CO",
"Drosophila H1 regulates the genetic activity of heterochromatin by recruitment of Su(var)3-9.","/pubmed/23559249","Lu X, Wontakal SN, Kavi H, Kim BJ, Guzzardo PM, Emelyanov AV, Xu N, Hannon GJ, Zavadil J, Fyodorov DV, Skoultchi AI.","Science. 2013 Apr 5;340(6128):78-81. doi: 10.1126/science.1234654.","Science.  2013","PubMed","citation","PMID:23559249 | PMCID:PMC3756538","pubmed","23559249","create date:2013/04/06 | first author:Lu X",
"Dogma derailed: the many influences of RNA on the genome.","/pubmed/23473599","Sabin LR, Delás MJ, Hannon GJ.","Mol Cell. 2013 Mar 7;49(5):783-94. doi: 10.1016/j.molcel.2013.02.010. Review.","Mol Cell.  2013","PubMed","citation","PMID:23473599 | PMCID:PMC3825098","pubmed","23473599","create date:2013/03/12 | first author:Sabin LR",
"Dicer-2 processes diverse viral RNA species.","/pubmed/23424633","Sabin LR, Zheng Q, Thekkat P, Yang J, Hannon GJ, Gregory BD, Tudor M, Cherry S.","PLoS One. 2013;8(2):e55458. doi: 10.1371/journal.pone.0055458.","PLoS One.  2013","PubMed","citation","PMID:23424633 | PMCID:PMC3570552","pubmed","23424633","create date:2013/02/21 | first author:Sabin LR",
"Multiple roles for Piwi in silencing Drosophila transposons.","/pubmed/23392609","Rozhkov NV, Hammell M, Hannon GJ.","Genes Dev. 2013 Feb 15;27(4):400-12. doi: 10.1101/gad.209767.112.","Genes Dev.  2013","PubMed","citation","PMID:23392609 | PMCID:PMC3589557","pubmed","23392609","create date:2013/02/09 | first author:Rozhkov NV",
"The piRNA pathway in flies: highlights and future directions.","/pubmed/23317515","Guzzardo PM, Muerdter F, Hannon GJ.","Curr Opin Genet Dev. 2013 Feb;23(1):44-52. doi: 10.1016/j.gde.2012.12.003. Review.","Curr Opin Genet Dev.  2013","PubMed","citation","PMID:23317515 | PMCID:PMC3621807","pubmed","23317515","create date:2013/01/16 | first author:Guzzardo PM",
"Inducing RNAi in C. elegans by feeding with dsRNA-expressing E. coli.","/pubmed/23209143","Hammell CM, Hannon GJ.","Cold Spring Harb Protoc. 2012 Dec 1;2012(12). pii: pdb.prot072348. doi: 10.1101/pdb.prot072348.","Cold Spring Harb Protoc.  2012","PubMed","citation","PMID:23209143","pubmed","23209143","create date:2012/12/05 | first author:Hammell CM",
"The structural biochemistry of Zucchini implicates it as a nuclease in piRNA biogenesis.","/pubmed/23064227","Ipsaro JJ, Haase AD, Knott SR, Joshua-Tor L, Hannon GJ.","Nature. 2012 Nov 8;491(7423):279-83. doi: 10.1038/nature11502.","Nature.  2012","PubMed","citation","PMID:23064227 | PMCID:PMC3493678","pubmed","23064227","create date:2012/10/16 | first author:Ipsaro JJ",
"Extreme telomere length dimorphism in the Tasmanian devil and related marsupials suggests parental control of telomere length.","/pubmed/23049977","Bender HS, Murchison EP, Pickett HA, Deakin JE, Strong MA, Conlan C, McMillan DA, Neumann AA, Greider CW, Hannon GJ, Reddel RR, Graves JA.","PLoS One. 2012;7(9):e46195. doi: 10.1371/journal.pone.0046195.","PLoS One.  2012","PubMed","citation","PMID:23049977 | PMCID:PMC3458001","pubmed","23049977","create date:2012/10/11 | first author:Bender HS",
"Preparation of small RNA libraries for high-throughput sequencing.","/pubmed/23028068","Malone C, Brennecke J, Czech B, Aravin A, Hannon GJ.","Cold Spring Harb Protoc. 2012 Oct 1;2012(10):1067-77. doi: 10.1101/pdb.prot071431.","Cold Spring Harb Protoc.  2012","PubMed","citation","PMID:23028068","pubmed","23028068","create date:2012/10/03 | first author:Malone C",
"Site identification in high-throughput RNA-protein interaction data.","/pubmed/23024010","Uren PJ, Bahrami-Samani E, Burns SC, Qiao M, Karginov FV, Hodges E, Hannon GJ, Sanford JR, Penalva LO, Smith AD.","Bioinformatics. 2012 Dec 1;28(23):3013-20. doi: 10.1093/bioinformatics/bts569.","Bioinformatics.  2012","PubMed","citation","PMID:23024010 | PMCID:PMC3509493","pubmed","23024010","create date:2012/10/02 | first author:Uren PJ",
"RNAi in cultured mammalian cells using synthetic siRNAs.","/pubmed/22949722","Chang K, Marran K, Valentine A, Hannon GJ.","Cold Spring Harb Protoc. 2012 Sep 1;2012(9):957-61. doi: 10.1101/pdb.prot071076.","Cold Spring Harb Protoc.  2012","PubMed","citation","PMID:22949722 | PMCID:PMC3541682","pubmed","22949722","create date:2012/09/06 | first author:Chang K",
"shutdown is a component of the Drosophila piRNA biogenesis machinery.","/pubmed/22753781","Preall JB, Czech B, Guzzardo PM, Muerdter F, Hannon GJ.","RNA. 2012 Aug;18(8):1446-57. doi: 10.1261/rna.034405.112.","RNA.  2012","PubMed","citation","PMID:22753781 | PMCID:PMC3404366","pubmed","22753781","create date:2012/07/04 | first author:Preall JB",
"MicroRNA93 regulates proliferation and differentiation of normal and malignant breast stem cells.","/pubmed/22685420","Liu S, Patel SH, Ginestier C, Ibarra I, Martin-Trevino R, Bai S, McDermott SP, Shang L, Ke J, Ou SJ, Heath A, Zhang KJ, Korkaya H, Clouthier SG, Charafe-Jauffret E, Birnbaum D, Hannon GJ, Wicha MS.","PLoS Genet. 2012;8(6):e1002751. doi: 10.1371/journal.pgen.1002751.","PLoS Genet.  2012","PubMed","citation","PMID:22685420 | PMCID:PMC3369932","pubmed","22685420","create date:2012/06/12 | first author:Liu S",
"The structure of human argonaute-2 in complex with miR-20a.","/pubmed/22682761","Elkayam E, Kuhn CD, Tocilj A, Haase AD, Greene EM, Hannon GJ, Joshua-Tor L.","Cell. 2012 Jul 6;150(1):100-10. doi: 10.1016/j.cell.2012.05.017. Erratum in: Cell. 2012 Jul 6;150(1):233. ","Cell.  2012","PubMed","citation","PMID:22682761 | PMCID:PMC3464090","pubmed","22682761","create date:2012/06/12 | first author:Elkayam E",
"Genomic landscape of human allele-specific DNA methylation.","/pubmed/22523239","Fang F, Hodges E, Molaro A, Dean M, Hannon GJ, Smith AD.","Proc Natl Acad Sci U S A. 2012 May 8;109(19):7332-7. doi: 10.1073/pnas.1201310109.","Proc Natl Acad Sci U S A.  2012","PubMed","citation","PMID:22523239 | PMCID:PMC3358917","pubmed","22523239","create date:2012/04/24 | first author:Fang F",
"Modulators of prostate cancer cell proliferation and viability identified by short-hairpin RNA library screening.","/pubmed/22509301","Dahlman KB, Parker JS, Shamu T, Hieronymus H, Chapinski C, Carver B, Chang K, Hannon GJ, Sawyers CL.","PLoS One. 2012;7(4):e34414. doi: 10.1371/journal.pone.0034414.","PLoS One.  2012","PubMed","citation","PMID:22509301 | PMCID:PMC3324507","pubmed","22509301","create date:2012/04/18 | first author:Dahlman KB",
"An alternative mode of microRNA target recognition.","/pubmed/22343717","Chi SW, Hannon GJ, Darnell RB.","Nat Struct Mol Biol. 2012 Feb 12;19(3):321-7. doi: 10.1038/nsmb.2230.","Nat Struct Mol Biol.  2012","PubMed","citation","PMID:22343717 | PMCID:PMC3541676","pubmed","22343717","create date:2012/02/22 | first author:Chi SW",
"Enhanced susceptibility of Ago1/3 double-null mice to influenza A virus infection.","/pubmed/22318144","Van Stry M, Oguin TH 3rd, Cheloufi S, Vogel P, Watanabe M, Pillai MR, Dash P, Thomas PG, Hannon GJ, Bix M.","J Virol. 2012 Apr;86(8):4151-7. doi: 10.1128/JVI.05303-11.","J Virol.  2012","PubMed","citation","PMID:22318144 | PMCID:PMC3318639","pubmed","22318144","create date:2012/02/10 | first author:Van Stry M",
"A pipeline for the generation of shRNA transgenic mice.","/pubmed/22301776","Dow LE, Premsrirut PK, Zuber J, Fellmann C, McJunkin K, Miething C, Park Y, Dickins RA, Hannon GJ, Lowe SW.","Nat Protoc. 2012 Feb 2;7(2):374-93. doi: 10.1038/nprot.2011.446.","Nat Protoc.  2012","PubMed","citation","PMID:22301776 | PMCID:PMC3724521","pubmed","22301776","create date:2012/02/04 | first author:Dow LE",
"Cell-type-based analysis of microRNA profiles in the mouse brain.","/pubmed/22243745","He M, Liu Y, Wang X, Zhang MQ, Hannon GJ, Huang ZJ.","Neuron. 2012 Jan 12;73(1):35-48. doi: 10.1016/j.neuron.2011.11.010. Erratum in: Neuron. 2012 Sep 6;75(5):930.  Neuron. 2012 Feb 9;73(3):620. ","Neuron.  2012","PubMed","citation","PMID:22243745 | PMCID:PMC3270494","pubmed","22243745","create date:2012/01/17 | first author:He M",
